Questions,Option 1,Approach - 1,Correctness of Option 1,Option 2,Approach - 2,Correctness of Option 2
A 26 year old woman came to the opd to discuss her routine cervical smear report. She has had one previous smear four years prior which had been normal. She is sexually active and has had two new partners since the last smear. She had an episode of a severe vaginal infection that had been treated with oral and vaginal medications about a year back. She does experience excessive vaginal discharge on and off still. Her Pap smear is reported as ASC-H (atypical squamous cells - cannot exclude high grade squamous intraepithelial lesion). Her speculum examination reveals a large cervical erosion which bleeds on touch. What is the next best clinical step for this patient?,Colposcopy.,Codex,Correct,Endocervical curettage.,KJ,Correct
"A 9 year old male child from a slum area presented to the dermatology outpatient department with intensely pruritic lesions all over body for a week. On further inquiry, it came to notice that other 4 members in the family including his two siblings and parents have similar complaints. The itching gets worse at night. On physical examination, areas like finger web spaces, axillae, groin area, abdomen, buttocks, thighs and genitals were involved. What is the treatment of choice for it?",Permethrin cream or lotion.,Codex,Correct,Topical permethrin 5% cream or lotion.,KJ,Correct
A 29 year old primigravida with 28 weeks gestation visited the ER complaining of reduced fetal movements on that day. She reports that this is an IVF conception and she has been on daily injections throughout her pregnancy. She reports that her last ultrasound examination had revealed reduced liquor around the baby and she has since been on bed rest. She does not have any pain or vaginal discharge or bleeding. She has been getting regular antenatal check ups and does not recall any raised blood pressure readings. What parameters in her ultrasound examination will be determinant of fetal wellbeing?,"Nonstress test, Biophysical profile, Doppler ultrasound, Fetal growth restriction, Amniotic fluid index, and Umbilical artery Doppler.",Codex,Correct,"Fetal biometry, fetal growth velocity, amniotic fluid index, umbilical artery Doppler, fetal heart rate monitoring, and maternal serum markers.",KJ,Correct
"A 58 year old man visits a physician for oral ulcers for two weeks, not resolving with vitamin supplementation. There is no history of any trauma, dental treatment or dietary alterations. There is a history of mild cold and rhinitis along with erosions in the axillae and groin area. He has been known hypertensive for 8 years and has had a single episode of MI two months ago, for which he was hospitalised and started on new drugs. What could be the most likely cause of the oral ulceration?",Drug reaction.,Codex,Correct,drug-induced oral ulcers.,KJ,Correct
"68 year old lady, a non smoker, without any comorbidity, presented with c/o mild cough since last few months which is not responding to treatment. Lately she has been having some fever. There is no chest pain or body ache, breathlessness, change in voice, loss of appetite or loss of weight. X ray chest showed an opacity in left lung. CT scan of thorax revealed a mass in the left upper lobe measuring around 6 x 5 cm with significantly mediastinal enlarged lymph nodes. CT guided biopsy from the mass revealed it to be an Adenocarcinoma of lung. PET CT showed the lung mass and the mediastinal lymph nodes to be FDG avid. There was no evidence of disease in the rest of the body. MRI Brain was normal and did not show any evidence of metastasis. What should be the next investigation.","Discuss treatment options with the patient (surgery, chemotherapy, radiation therapy).",Codex,Incorrrect,PET scan and MRI of the spine and bones.,KJ,Correct
"A 64 year old man with type 2 diabetes mellitus and chronic renal disease is on dialysis. Recently he has started developing pruritic papules and nodules on both the shins. On examination, the lesions are umbilicated with central adherent plug. The histopathology study of a biopsy shows epidermal invagination often involving a dilated hair follicle with a keratotic plug consisting of collagen, keratin or elastic fibers. What would be the most likely diagnosis?",Nephrogenic systemic fibrosis (NSF).,Codex,Correct,nephrogenic systemic fibrosis.,KJ,Correct
"An 8 year old male child presented to the dermatology outpatient department with dry scaly skin lesions with mild itching and erythema. On further examination, the scales were thick, micaceous, silvery and showed pin-point bleeding on removal. The skin lesions were present on all four extremities, abdomen, back, buttocks, scalp and nails showed pitting and subungual hyperkeratosis. Mucosae and hair were spared. What is the diagnosis?",Psoriasis.,Codex,Correct,Psoriasis,KJ,Correct
"A 24 old young female referred by a physician. Visited a physician due to breathlessness n palpitations episodes. ECG, all blood tests normal. She recently joined new job. Says feels very anxious and stressed. Not sleeping well. Keeps thinking she will not do well. Imagine a boss firing her. Has episodes of freezing, intense palpitaitons, sweating and feels cold clammy. These episodes occur almost daily and last 10-15 mins. She’s unable to work well. Has taken frequent leaves last ten days. Having headache . Does not feel like going to work. What can be the problem?",Anxiety disorder/Panic attacks.,Codex,Correct,Panic Attacks.,KJ,Correct
"A 27 year old man presented with red painful nodules over both shins for five days. He also gives a history of persistent dry cough and shortness of breath. On further enquiry, he experiences blurred vision and occasional pain in his eyes. On examination, there was a single palpable asymptomatic nodule in the right axilla. Which one blood test will confirm the diagnosis?",Angiotensin-converting enzyme (ACE) level.,Codex,Correct,AFB smear or culture.,KJ,Incorrrect
"A 3 year old child was brought in my parents as he keeps repeating nursery rhymes all day, but does not follow their instructions. Parents proudly say he knows A-Z, names all animals and birds, nursery rhymes. Knows to operate phones and watches phone many hours. On examination child is lost in himself, not able to answer or follow simple instructions. Can not sit in one place. Does not give eye contact. Does not reciprocate to hi/ bye. He keeps jumping in one place, switches the light button on and off. He does not sleep well at night. Can not eat solid foods. What is the like diagnosis?",Autism Spectrum Disorder (ASD).,Codex,Correct,Attention Deficit Hyperactivity Disorder (ADHD),KJ,Incorrrect
"A 35 year old businessman from Shimla has a history of itching and thick lesions in axillae, groins and around the neck area for more than 20 years. His father has similar skin lesions. Recently he visited Maharashtra in the month of May and noticed exacerbation of the condition with foul smelling, itchy, thick skin lesions leading to painful erosions and rhagades. The dermoscopy shows polymorphous vessels such as glomerular and linear-looped vessels within a pink-whitish background. What is the diagnosis?",Erythroderma.,Codex,Correct,Congenital Cutaneous Leishmaniasis.,KJ,Incorrrect
"A 32 year old female from Mumbai, presented at dermatology OPD with multiple light pink coloured annular plaques all over body for 2 weeks. On examination, face, palms, soles, scalp and mucosae were spared. Patient’s general condition was good, with BP 130/80 mmHg, pulse 78/min, with no respiratory distress. The lesions are slightly itchy and have fine scales. She gives a history of mild fever and cold a few weeks ago and noticed a single lesion on her abdomen, which then resolved, giving rise to the current rash. What could be the most likely causative agent?",Malassezia globosa.,Codex,Correct,Perform a viral screen.,KJ,Correct
"A 36 year old married pharmacist came with a history of inability to conceive. She has been married for 3 years and has been trying for a pregnancy for 1 year, though she never used any contraception before that. Her husband is 40 years old and has a desk job at a firm. They do not face any difficulty in sexual intercourse. She has been using the fertile period method but she reports that as her cycles are irregular she has found it difficult to track her cycles. She reports that this cycle irregularity is recent, since past 5-6 months. She bleeds every 1.5-2 months with reduced flow and minimal period cramps. She has had one surgery for a twisted ovarian cyst which had been operated laparoscopically when she was 19 years old. Other than that she has been healthy. However she has noticed weight gain and lethargy in recent months. She is concerned that her age might be a factor in her inability to conceive. What investigations must be done next to help her conceive?","CCCT/CCT, hormonal profile, pelvic ultrasound, semen analysis, thyroid function test, prolactin level, androgen hormones, glucose tolerance test.",Codex,Correct,"pelvic ultrasound, hormonal tests, semen analysis, hysterosalpingogram, genetic testing.",KJ,Correct
